horizon_s,cohort,metric,seed_wins,seed_n,flight_wins,flight_n
0.1,ALL,position_rmse_m,1,3,8,17
0.1,ALL,velocity_rmse_m_s,3,3,16,17
0.1,ALL,attitude_error_deg,3,3,16,17
0.1,ALL,body_rate_rmse_rad_s,3,3,17,17
0.1,Sep7,position_rmse_m,0,3,2,9
0.1,Sep7,velocity_rmse_m_s,3,3,8,9
0.1,Sep7,attitude_error_deg,3,3,8,9
0.1,Sep7,body_rate_rmse_rad_s,3,3,9,9
0.1,Sep17,position_rmse_m,2,3,6,8
0.1,Sep17,velocity_rmse_m_s,3,3,8,8
0.1,Sep17,attitude_error_deg,3,3,8,8
0.1,Sep17,body_rate_rmse_rad_s,3,3,8,8
0.2,ALL,position_rmse_m,1,3,6,17
0.2,ALL,velocity_rmse_m_s,3,3,14,17
0.2,ALL,attitude_error_deg,3,3,11,17
0.2,ALL,body_rate_rmse_rad_s,3,3,16,17
0.2,Sep7,position_rmse_m,0,3,2,9
0.2,Sep7,velocity_rmse_m_s,3,3,7,9
0.2,Sep7,attitude_error_deg,3,3,8,9
0.2,Sep7,body_rate_rmse_rad_s,3,3,8,9
0.2,Sep17,position_rmse_m,1,3,4,8
0.2,Sep17,velocity_rmse_m_s,3,3,7,8
0.2,Sep17,attitude_error_deg,0,3,3,8
0.2,Sep17,body_rate_rmse_rad_s,3,3,8,8
0.5,ALL,position_rmse_m,0,3,3,17
0.5,ALL,velocity_rmse_m_s,0,3,3,17
0.5,ALL,attitude_error_deg,0,3,0,17
0.5,ALL,body_rate_rmse_rad_s,3,3,16,17
0.5,Sep7,position_rmse_m,0,3,3,9
0.5,Sep7,velocity_rmse_m_s,2,3,3,9
0.5,Sep7,attitude_error_deg,0,3,0,9
0.5,Sep7,body_rate_rmse_rad_s,3,3,9,9
0.5,Sep17,position_rmse_m,0,3,0,8
0.5,Sep17,velocity_rmse_m_s,0,3,0,8
0.5,Sep17,attitude_error_deg,0,3,0,8
0.5,Sep17,body_rate_rmse_rad_s,3,3,7,8
1.0,ALL,position_rmse_m,0,3,2,17
1.0,ALL,velocity_rmse_m_s,0,3,0,17
1.0,ALL,attitude_error_deg,0,3,0,17
1.0,ALL,body_rate_rmse_rad_s,0,3,3,17
1.0,Sep7,position_rmse_m,0,3,2,9
1.0,Sep7,velocity_rmse_m_s,0,3,0,9
1.0,Sep7,attitude_error_deg,0,3,0,9
1.0,Sep7,body_rate_rmse_rad_s,1,3,3,9
1.0,Sep17,position_rmse_m,0,3,0,8
1.0,Sep17,velocity_rmse_m_s,0,3,0,8
1.0,Sep17,attitude_error_deg,0,3,0,8
1.0,Sep17,body_rate_rmse_rad_s,0,3,0,8
