history_steps,partition,cohort,mean_s,median_s,std_s,p05_s,p95_s,min_s,max_s,n_origins
1,train,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28293
5,train,ALL,0.07997179797122962,0.07979399999999999,0.003401870038022001,0.07855999999999999,0.08875,0.068496,0.10805999999999999,28293
13,train,ALL,0.23995767684586294,0.239504,0.004361430300845837,0.23622359999999998,0.24945499999999998,0.229098,0.26614099999999996,28293
26,train,ALL,0.4999703985438095,0.499023,0.0040514273197779435,0.49277699999999997,0.5089429999999999,0.48860099999999995,0.522376,28293
1,validation,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582
1,validation,Sep17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101
1,validation,Sep7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481
5,validation,ALL,0.08000454918667699,0.0797185,0.0035352029337423507,0.078525,0.088739,0.06866599999999999,0.090181,2582
5,validation,Sep17,0.08005921889191643,0.07975199999999999,0.003511994365838182,0.078571,0.08874399999999999,0.068724,0.09005099999999999,1101
5,validation,Sep7,0.07996390681971641,0.07965599999999999,0.0035529972186741383,0.07849099999999999,0.08873299999999999,0.06866599999999999,0.090181,1481
13,validation,ALL,0.24003183462432223,0.239483,0.004496125782371366,0.2362594,0.24937689999999998,0.22927199999999998,0.249795,2582
13,validation,Sep17,0.2400216630336058,0.23947,0.004587409403215943,0.236226,0.24945199999999998,0.22927199999999998,0.249795,1101
13,validation,Sep7,0.24003939635381497,0.23949499999999999,0.004428587903208669,0.23637899999999998,0.249251,0.22936199999999998,0.249694,1481
26,validation,ALL,0.49995978543764513,0.49907749999999995,0.0041523767935600945,0.49275005,0.5088827499999999,0.48885599999999996,0.509316,2582
26,validation,Sep17,0.4999686185286104,0.49905,0.004177731191119932,0.49278299999999997,0.508938,0.48885599999999996,0.509316,1101
26,validation,Sep7,0.4999532187711006,0.499135,0.004134828340755184,0.492735,0.508813,0.488919,0.509298,1481
