Cohort,Horizon [s],Model,Position RMSE [m],Velocity RMSE [m/s],Attitude geodesic RMS [deg],Body-rate RMSE [rad/s]
ALL,0.1,B0 Kinematic,0.0587,0.8196,4.1554,1.2121
ALL,0.1,B1 MLP,0.0494 ± 1.36e-05,0.5308 ± 0.0013,2.0366 ± 0.0095,0.7184 ± 0.0031
ALL,0.1,B2 Standard GRU / H26,0.0353 ± 0.0002,0.1449 ± 0.0046,1.4074 ± 0.0206,0.5453 ± 0.0026
ALL,0.2,B0 Kinematic,0.1378,0.7480,9.3133,1.2005
ALL,0.2,B1 MLP,0.0982 ± 0.0002,0.4289 ± 0.0037,3.1704 ± 0.0144,0.7553 ± 0.0066
ALL,0.2,B2 Standard GRU / H26,0.0704 ± 0.0005,0.1954 ± 0.0038,2.1965 ± 0.0385,0.5663 ± 0.0028
ALL,0.5,B0 Kinematic,0.4182,1.1707,23.2455,1.0660
ALL,0.5,B1 MLP,0.2407 ± 0.0019,0.5422 ± 0.0097,5.4859 ± 0.0451,0.7526 ± 0.0015
ALL,0.5,B2 Standard GRU / H26,0.1924 ± 0.0019,0.3573 ± 0.0072,4.0784 ± 0.0461,0.5966 ± 0.0028
ALL,1.0,B0 Kinematic,1.2249,2.0733,46.7779,1.1262
ALL,1.0,B1 MLP,0.5675 ± 0.0071,0.8618 ± 0.0143,8.5328 ± 0.1523,0.7687 ± 0.0048
ALL,1.0,B2 Standard GRU / H26,0.4740 ± 0.0063,0.6477 ± 0.0070,6.6925 ± 0.1321,0.6211 ± 0.0108
Sep17,0.1,B0 Kinematic,0.0473,0.8067,4.0547,1.2504
Sep17,0.1,B1 MLP,0.0368 ± 0.0002,0.5470 ± 0.0018,2.2452 ± 0.0272,0.7317 ± 0.0070
Sep17,0.1,B2 Standard GRU / H26,0.0188 ± 0.0003,0.1533 ± 0.0048,1.4698 ± 0.0125,0.5274 ± 0.0027
Sep17,0.2,B0 Kinematic,0.1187,0.7733,9.3406,1.1662
Sep17,0.2,B1 MLP,0.0748 ± 0.0002,0.4477 ± 0.0059,3.6687 ± 0.0360,0.7661 ± 0.0060
Sep17,0.2,B2 Standard GRU / H26,0.0404 ± 0.0008,0.2205 ± 0.0009,2.3762 ± 0.0567,0.5370 ± 0.0007
Sep17,0.5,B0 Kinematic,0.3985,1.2780,23.4183,1.0921
Sep17,0.5,B1 MLP,0.1909 ± 0.0020,0.5775 ± 0.0067,6.5473 ± 0.0512,0.7494 ± 0.0025
Sep17,0.5,B2 Standard GRU / H26,0.1293 ± 0.0040,0.3736 ± 0.0143,4.5695 ± 0.1054,0.5609 ± 0.0046
Sep17,1.0,B0 Kinematic,1.2449,2.2176,47.3359,1.1321
Sep17,1.0,B1 MLP,0.4970 ± 0.0070,0.9556 ± 0.0181,10.0683 ± 0.1660,0.7813 ± 0.0056
Sep17,1.0,B2 Standard GRU / H26,0.3682 ± 0.0141,0.6882 ± 0.0119,7.5654 ± 0.3508,0.6174 ± 0.0161
Sep7,0.1,B0 Kinematic,0.0689,0.8311,4.2450,1.1780
Sep7,0.1,B1 MLP,0.0607 ± 0.0001,0.5164 ± 0.0016,1.8512 ± 0.0063,0.7066 ± 0.0016
Sep7,0.1,B2 Standard GRU / H26,0.0501 ± 0.0001,0.1375 ± 0.0045,1.3519 ± 0.0288,0.5613 ± 0.0029
Sep7,0.2,B0 Kinematic,0.1547,0.7254,9.2891,1.2309
Sep7,0.2,B1 MLP,0.1190 ± 0.0002,0.4121 ± 0.0019,2.7275 ± 0.0145,0.7457 ± 0.0072
Sep7,0.2,B2 Standard GRU / H26,0.0970 ± 0.0003,0.1731 ± 0.0063,2.0368 ± 0.0230,0.5923 ± 0.0050
Sep7,0.5,B0 Kinematic,0.4357,1.0754,23.0919,1.0428
Sep7,0.5,B1 MLP,0.2849 ± 0.0025,0.5108 ± 0.0132,4.5424 ± 0.0500,0.7554 ± 0.0024
Sep7,0.5,B2 Standard GRU / H26,0.2485 ± 0.0008,0.3428 ± 0.0010,3.6419 ± 0.0567,0.6283 ± 0.0026
Sep7,1.0,B0 Kinematic,1.2072,1.9450,46.2818,1.1209
Sep7,1.0,B1 MLP,0.6301 ± 0.0097,0.7785 ± 0.0113,7.1679 ± 0.1413,0.7576 ± 0.0042
Sep7,1.0,B2 Standard GRU / H26,0.5681 ± 0.0035,0.6118 ± 0.0035,5.9166 ± 0.0650,0.6244 ± 0.0073
