split,channel,step,output,mean,median,p1,p99,max_abs,near_zero_fraction,positive_fraction
train,tail_diff,1,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_diff,1,az_b,7.947285484986667e-07,0.0,0.0,0.0,0.0002384185645496,0.9916666666666667,0.006666666666666667
train,tail_diff,1,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_diff,1,p_dot,-1.2503991455615808,-1.2538433074951172,-3.5712668895721436,1.1182177066802974,5.008697509765625,0.0,0.10666666666666667
train,tail_diff,1,q_dot,-6.506839993106806e-06,0.0,-0.00024080275019509596,7.674097546441568e-06,0.0009536742581985,0.9533333333333334,0.011666666666666667
train,tail_diff,1,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_diff,5,ax_b,-0.009997269282154457,-0.00376999354921275,-0.1481795310974121,0.03998249396681779,0.2290606349706649,0.0016666666666666668,0.345
train,tail_diff,5,ay_b,-0.026136436588264252,-0.020414588972926098,-0.1701271384954452,0.03183841705322255,0.2491474002599716,0.005,0.14666666666666667
train,tail_diff,5,az_b,-0.1197089566797573,-0.11461972445249555,-0.34935203194618225,0.0704050064086913,0.5010366439819336,0.0,0.056666666666666664
train,tail_diff,5,frequency_dot,-0.029453382598391375,-0.0241994839161634,-0.0955462381243705,0.0238865595310926,0.1512877643108368,0.09333333333333334,0.03
train,tail_diff,5,p_dot,-1.6413783770578447,-1.7537026405334473,-4.71494197845459,2.126088142395019,6.328105449676514,0.0,0.10666666666666667
train,tail_diff,5,q_dot,0.051010982544588204,0.041335817426443044,-0.2194809764623642,0.5149364471435542,0.8631944060325623,0.0,0.7916666666666666
train,tail_diff,5,r_dot,0.17117133616160574,0.17046926915645594,-0.06558537483215332,0.4276644885540008,0.637859046459198,0.0,0.9433333333333334
train,tail_sym,0,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,0,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,0,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,0,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,0,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,0,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,0,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,1,ax_b,0.7145741365011782,0.719338595867157,-0.1761700063943862,1.617698848247528,1.6892551183700562,0.0,0.9733333333333334
train,tail_sym,1,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,1,az_b,-0.2600110193636889,-0.27152895927429194,-0.8820640444755554,0.4659342467784879,1.0938048362731934,0.0,0.16333333333333333
train,tail_sym,1,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,1,p_dot,3.849466277945e-07,0.0,0.0,0.0,0.0004768371290992,0.9866666666666667,0.006666666666666667
train,tail_sym,1,q_dot,1.9655620885904257,2.0135045051574707,-0.20696698129177088,4.10576060295105,4.437923431396484,0.0,0.98
train,tail_sym,1,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,tail_sym,5,ax_b,1.6469338399668534,1.7510241866111755,-0.28866961568593974,2.780816614627838,3.0327436923980717,0.0,0.985
train,tail_sym,5,ay_b,0.13898466315603092,0.13151764869689936,-0.0004982947991810726,0.3791215717792511,0.5154609680175781,0.0,0.9866666666666667
train,tail_sym,5,az_b,0.3354690392012708,0.3066062927246094,-1.0390391945838928,1.9170682430267334,2.17851996421814,0.0,0.705
train,tail_sym,5,frequency_dot,-0.0019117744655037978,0.0,-0.09554629400372498,0.0358521938323974,0.1512859016656875,0.215,0.43333333333333335
train,tail_sym,5,p_dot,0.3871658431994729,0.394344300031662,-0.7536219954490662,1.2119507789611814,1.4677046537399292,0.0016666666666666668,0.9166666666666666
train,tail_sym,5,q_dot,2.443240366751949,2.5621650218963623,-2.6865676641464233,4.851236343383789,5.634068965911865,0.0,0.94
train,tail_sym,5,r_dot,-0.014371863497957134,-0.009000301361083901,-0.16160367429256436,0.16540704667568207,0.2728700637817383,0.0,0.42833333333333334
validation,motor,0,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,0,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,0,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,0,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,0,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,0,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,0,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,1,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,1,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,1,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,1,frequency_dot,3.285711984872818,3.308892011642456,1.6716300249099731,4.881717262268066,4.944991111755371,0.0,1.0
validation,motor,1,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,1,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,1,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,motor,5,ax_b,0.3979969497397542,0.4011988341808319,0.08258461207151412,0.812155544757843,0.8653103709220886,0.0,1.0
validation,motor,5,ay_b,0.03668588224796255,0.03595650196075435,-0.049718614667653954,0.12946367263793943,0.1683235019445419,0.0,0.848
validation,motor,5,az_b,-0.3446018791887909,-0.3511905372142792,-0.789049506187439,-0.05600392445921891,0.9003728032112122,0.0,0.002
validation,motor,5,frequency_dot,9.43831890487671,9.674951076507568,6.426637291908264,10.730618295669554,10.818391799926758,0.0,1.0
validation,motor,5,p_dot,-0.09316306651383638,-0.09775160998106,-1.686346411705017,1.8887476921081545,2.636909246444702,0.0,0.428
validation,motor,5,q_dot,-0.03631995964358794,-0.0235736351460218,-0.7523679137229919,0.9000336527824401,1.2165307998657229,0.0,0.462
validation,motor,5,r_dot,0.21431037496495992,0.20416824519634244,-0.0026381013472564076,0.5643886327743528,0.797092854976654,0.0,0.988
validation,rudder,0,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,0,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,0,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,0,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,0,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,0,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,0,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,1,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,1,ay_b,0.23211323017720134,0.23528932034969324,-0.005339383608661503,0.4456519782543182,0.5835294723510742,0.0,0.986
validation,rudder,1,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,1,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,1,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,1,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,rudder,1,r_dot,0.5375033934046515,0.5499869585037231,-0.08991955965757363,1.0136750340461729,1.417159914970398,0.0,0.982
validation,rudder,5,ax_b,-0.007107790208057819,-0.00588595820590845,-0.032575428485870285,0.01574724912643429,0.037550926208496,0.008,0.206
validation,rudder,5,ay_b,0.5212177934437059,0.563308596611023,-0.19930420815944672,0.970309317111969,1.127481460571289,0.0,0.97
validation,rudder,5,az_b,0.04919084655930051,0.0473856888711452,-0.000717639864888015,0.11135741323232647,0.1442432403564453,0.0,0.984
validation,rudder,5,frequency_dot,0.03897927727270866,0.0418052040040493,0.0,0.07168337702751156,0.0955462381243705,0.014,0.98
validation,rudder,5,p_dot,0.11168594816897527,0.09477137774229044,-0.10209082812070841,0.38792368769645647,0.716209352016449,0.0,0.924
validation,rudder,5,q_dot,-0.11470429374044758,-0.11399387568235389,-0.2423703521490097,0.022925136610865506,0.3366470038890838,0.0,0.026
validation,rudder,5,r_dot,0.6205822411021218,0.7010250687599182,-0.7786011099815369,1.430984169244766,1.9061564207077024,0.0,0.904
validation,tail_diff,0,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,0,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,0,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,0,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,0,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,0,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,0,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,1,ax_b,5.438923508334411e-07,0.0,-5.960464113741182e-05,5.960464113741182e-05,0.0001192092822748,0.958,0.024
validation,tail_diff,1,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,1,az_b,2.0861624216195196e-07,0.0,0.0,0.0,5.960464113741182e-05,0.99,0.008
validation,tail_diff,1,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,1,p_dot,-1.1495387876082677,-1.1904239654541016,-3.061053514480591,1.0685825347900386,3.4847257137298584,0.0,0.104
validation,tail_diff,1,q_dot,-6.295740208769494e-07,0.0,-5.990266432490898e-05,6.020068754878516e-05,0.0004768371290992,0.97,0.016
validation,tail_diff,1,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_diff,5,ax_b,-0.009030162832783363,-0.0059008593671022996,-0.06732672452926634,0.017464756965637155,0.1071691438555717,0.0,0.226
validation,tail_diff,5,ay_b,-0.02097546958737072,-0.01782178878784175,-0.10270237177610392,0.03433346748352051,0.1473426818847656,0.004,0.172
validation,tail_diff,5,az_b,-0.09771194574571561,-0.0982284471392631,-0.2569374442100525,0.03827691074460733,0.3612339198589325,0.0,0.062
validation,tail_diff,5,frequency_dot,-0.024290828414261292,-0.0239014606922864,-0.0637570768594741,0.0119507303461432,0.0776648521423339,0.078,0.022
validation,tail_diff,5,p_dot,-1.7058329002028185,-1.8603204488754272,-3.952684164047241,1.1693406105041497,5.294799327850342,0.0,0.092
validation,tail_diff,5,q_dot,0.040811532737890927,0.04471838101744645,-0.14196395874023438,0.19414602220058433,0.3459453284740448,0.002,0.826
validation,tail_diff,5,r_dot,0.16162226312069106,0.16622616350650785,-0.04944696649909011,0.3846105635166168,0.4688501060009002,0.0,0.942
validation,tail_sym,0,ax_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,0,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,0,az_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,0,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,0,p_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,0,q_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,0,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,1,ax_b,0.8054555101734586,0.8020102381706238,0.07093578575178973,1.5608816146850581,1.8460749387741089,0.0,0.996
validation,tail_sym,1,ay_b,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,1,az_b,-0.24764640800305643,-0.25349855422973633,-0.7245671153068542,0.396424502134323,0.8463858962059021,0.0,0.126
validation,tail_sym,1,frequency_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,1,p_dot,-1.639127631278825e-07,0.0,-0.0001192092822748,6.020068754878516e-05,0.0004768371290992,0.962,0.014
validation,tail_sym,1,q_dot,1.932969457052648,1.9698290824890137,0.07198214527219529,4.087553024291991,4.601955413818359,0.0,0.992
validation,tail_sym,1,r_dot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,tail_sym,5,ax_b,1.7435420152246952,1.7662345170974731,0.3956366404891014,2.7527279257774353,2.8359291553497314,0.0,0.998
validation,tail_sym,5,ay_b,0.13110708514030558,0.12147425860166544,0.0028586385305970838,0.3493147790431975,0.4796981513500213,0.0,0.994
validation,tail_sym,5,az_b,0.29118631705269943,0.1927316039800644,-0.7643782496452332,1.915185332298278,2.361536026000977,0.0,0.676
validation,tail_sym,5,frequency_dot,0.0006149100568145354,0.00596977723762385,-0.08758909255266187,0.0298619251698255,0.1274049282073974,0.162,0.56
validation,tail_sym,5,p_dot,0.35811341286217796,0.3664493262767792,-0.27591228485107416,0.9925889378786085,1.3236998319625854,0.0,0.94
validation,tail_sym,5,q_dot,2.0843713510781527,2.2453739643096924,-2.300353047847748,4.1301047801971436,4.517793655395508,0.0,0.924
validation,tail_sym,5,r_dot,-0.011893422642409857,-0.0034272668417542496,-0.12954473495483396,0.06224155057221648,0.1401305198669433,0.0,0.444
