partition,log_id,n_windows,cohort
train,2026.9.6/log_17_2026-9-6-18-34-06.ulg,895,train
train,2026.9.6/log_18_2026-9-6-18-46-20.ulg,695,train
train,2026.9.6/log_19_2026-9-6-18-52-30.ulg,774,train
train,2026.9.6/log_20_2026-9-6-18-58-10.ulg,588,train
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,702,train
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,727,train
train,9.11数据/log_13_2026-9-11-18-28-08.ulg,447,train
train,9.11数据/log_14_2026-9-11-18-34-58.ulg,592,train
train,9.11数据/log_15_2026-9-11-18-40-48.ulg,440,train
train,9.12数据/log_10_2026-9-12-06-13-40.ulg,758,train
train,9.12数据/log_11_2026-9-12-06-21-12.ulg,720,train
train,9.12数据/log_12_2026-9-12-06-29-44.ulg,683,train
train,9.12数据/log_2_2026-9-12-18-32-54.ulg,753,train
train,9.12数据/log_3_2026-9-12-18-40-02.ulg,792,train
train,9.12数据/log_7_2026-9-12-05-49-02.ulg,655,train
train,9.12数据/log_8_2026-9-12-05-55-30.ulg,815,train
train,9.12数据/log_9_2026-9-12-06-03-32.ulg,1017,train
train,9.13数据/log_1_2026-9-13-06-11-06.ulg,712,train
train,9.13数据/log_2_2026-9-13-06-20-06.ulg,710,train
train,9.13数据/log_3_2026-9-13-06-31-26.ulg,710,train
train,9.13数据/log_4_2026-9-13-06-36-26.ulg,696,train
train,9.13数据/log_5_2026-9-13-06-42-40.ulg,730,train
train,9.13数据/log_7_2026-9-13-18-12-52.ulg,450,train
train,9.14数据/log_11_2026-9-14-18-13-22.ulg,756,train
train,9.14数据/log_12_2026-9-14-18-20-30.ulg,768,train
train,9.14数据/log_13_2026-9-14-18-28-32.ulg,883,train
train,9.14数据/log_14_2026-9-14-18-34-22.ulg,600,train
train,9.15数据/log_10_2026-9-15-17-44-04.ulg,594,train
train,9.15数据/log_11_2026-9-15-17-51-56.ulg,538,train
train,9.15数据/log_12_2026-9-15-18-03-58.ulg,704,train
train,9.15数据/log_13_2026-9-15-18-10-58.ulg,690,train
train,9.15数据/log_14_2026-9-15-18-17-26.ulg,685,train
train,9.15数据/log_15_2026-9-15-18-23-44.ulg,702,train
train,9.16数据/log_1_2026-9-16-18-02-34.ulg,576,train
train,9.16数据/log_2_2026-9-16-18-08-46.ulg,691,train
train,9.16数据/log_3_2026-9-16-18-13-58.ulg,521,train
train,9.16数据/log_4_2026-9-16-18-20-50.ulg,689,train
train,9.16数据/log_5_2026-9-16-18-26-48.ulg,658,train
train,9.18数据/log_0_2026-9-18-18-15-06.ulg,742,train
train,9.18数据/log_1_2026-9-18-18-23-36.ulg,693,train
train,9.18数据/log_2_2026-9-18-18-29-40.ulg,742,train
validation,2026.9.7/log_21_2026-9-7-05-54-56.ulg,168,Sep7
validation,2026.9.7/log_22_2026-9-7-06-01-40.ulg,182,Sep7
validation,2026.9.7/log_23_2026-9-7-06-09-22.ulg,160,Sep7
validation,2026.9.7/log_24_2026-9-7-06-16-04.ulg,161,Sep7
validation,2026.9.7/log_26_2026-9-7-06-30-26.ulg,150,Sep7
validation,2026.9.7/log_27_2026-9-7-06-37-24.ulg,155,Sep7
validation,2026.9.7/log_28_2026-9-7-06-44-02.ulg,140,Sep7
validation,2026.9.7/log_29_2026-9-7-06-51-04.ulg,201,Sep7
validation,2026.9.7/log_30_2026-9-7-06-58-22.ulg,164,Sep7
validation,9.17数据/log_10_2026-9-17-06-34-34.ulg,130,Sep17
validation,9.17数据/log_11_2026-9-17-06-40-30.ulg,145,Sep17
validation,9.17数据/log_12_2026-9-17-06-46-02.ulg,144,Sep17
validation,9.17数据/log_13_2026-9-17-06-52-30.ulg,153,Sep17
validation,9.17数据/log_6_2026-9-17-06-02-24.ulg,138,Sep17
validation,9.17数据/log_7_2026-9-17-06-12-16.ulg,131,Sep17
validation,9.17数据/log_8_2026-9-17-06-17-52.ulg,146,Sep17
validation,9.17数据/log_9_2026-9-17-06-28-10.ulg,114,Sep17
