case,window_id,seed,step,metric,actual,hold,absolute_gain
fixed_step1,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:4:3975,17,25,position_rmse_m,0.39778230985320046,0.3916304915879551,-0.006151818265245357
fixed_step1,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:4:3975,17,25,velocity_rmse_m_s,0.25022904446301353,0.1887813383002129,-0.061447706162800625
fixed_step1,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:4:3975,17,25,attitude_error_deg,2.649345171530125,2.303631669137098,-0.3457135023930271
fixed_step1,validation:2026.9.7/log_29_2026-9-7-06-51-04.ulg:4:3975,17,25,body_rate_rmse_rad_s,0.3878676106072092,0.3772701894418569,-0.010597421165352283
Sep7_high_median_identity,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:1:825,17,25,position_rmse_m,0.11655380412551414,0.1614762799496434,0.044922475824129254
Sep7_high_median_identity,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:1:825,17,25,velocity_rmse_m_s,0.3195083190686712,0.5483575453223906,0.22884922625371934
Sep7_high_median_identity,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:1:825,17,25,attitude_error_deg,4.927704418609302,6.108863802326846,1.181159383717544
Sep7_high_median_identity,validation:2026.9.7/log_24_2026-9-7-06-16-04.ulg:1:825,17,25,body_rate_rmse_rad_s,1.3860365552342142,1.407349542314041,0.021312987079826762
Sep17_high_median_identity,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:5175,17,25,position_rmse_m,0.08427479345537492,0.06570502111745127,-0.018569772337923646
Sep17_high_median_identity,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:5175,17,25,velocity_rmse_m_s,0.4625955730241842,0.24390484102844148,-0.2186907319957427
Sep17_high_median_identity,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:5175,17,25,attitude_error_deg,5.621190145320792,5.295019679889102,-0.3261704654316899
Sep17_high_median_identity,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:5175,17,25,body_rate_rmse_rad_s,0.5294455024076907,0.5901286032832946,0.06068310087560391
